Requirement ID,Status,Confidence,MOE Guide Section,Analysis,Gaps,Auditor Questions,Recommendation
moe_guide_0000,COMPLIANT,1.00,YHTEYSTIEDOT,"The MOE manual adequately addresses the MOE Guide requirement by including the necessary corporate commitment from the accountable manager, as required by EASA regulations. The signatures and dates confirm the approval of the procedures, aligning with Part 145.A.30 and AMC 145.A.30. The contact information for the responsible manager and technical manager is clearly provided, fulfilling the requirements of transparency and accountability outlined in the regulations.",,,Continue to monitor compliance with procedures and ensure that any updates to EASA regulations are incorporated into the MOE manual.
moe_guide_0001,NEEDS_REVIEW,0.70,3.11.2025 Sivu 2,"The MOE manual includes a table of contents and sections that suggest a structured approach to management and safety. However, it lacks explicit references to safety performance monitoring, risk control actions, and the endorsement of the safety policy by the accountable manager, which are critical components of the regulatory requirements outlined in AMC1 CAMO.A.200(a)(2). Additionally, the manual does not clearly communicate the internal reporting principles or the commitment to a 'just culture', which are essential for compliance with GM2 CAMO.A.200(a)(1).",Lack of explicit safety performance monitoring procedures.; No defined actions to control risks to an acceptable level.; Absence of endorsement of the safety policy by the accountable manager.; Insufficient communication of internal reporting principles.,Does the MOE manual include a detailed safety performance monitoring plan?; What specific actions are defined to control risks?; Is there documented evidence of the safety policy endorsement by the accountable manager?; How are internal reporting principles communicated to personnel?,"Revise the MOE manual to include explicit procedures for safety performance monitoring, risk control actions, and ensure the safety policy is endorsed and communicated effectively throughout the organization."
moe_guide_0002,NEEDS_REVIEW,0.70,1.0 TOIMILUVAN VOIMASSAOLO,"The MOE manual partially addresses the MOE Guide requirement regarding the examination standards for certifying staff. However, it lacks specific details on the implementation of the On-the-Job Training (OJT) procedures as required by AMC1 Appendix III to Part-66, which states that procedures for OJT should be included in the Exposition Manual. Additionally, the manual does not clearly define the roles and responsibilities of certifying staff in accordance with AMC1 Appendix III, which could lead to ambiguities in compliance with EASA regulations.",Lack of detailed OJT procedures in the MOE manual.; Unclear roles and responsibilities of certifying staff.; Insufficient information on the assessment process for OJT.,Does the MOE manual provide a comprehensive description of OJT procedures?; Are the roles and responsibilities of certifying staff clearly defined?; How does the organization ensure compliance with the examination standards outlined in AMC?,"Revise the MOE manual to include detailed OJT procedures, clarify the roles and responsibilities of certifying staff, and ensure alignment with AMC requirements."
moe_guide_0003,NON_COMPLIANT,0.80,1.1 VASTUULLISEN JOHTAJAN ANTAMA VAKUUTUS,"The MOE manual does not adequately address the MOE Guide requirement for the statement by the Accountable Manager. The date on the MOE implementation is 05 Oct 17, which is prior to the regulatory context's requirement for the statement dated 02 Jan 2020. The regulatory context requires that the statement must be current and reflect the organization's commitment to compliance with EASA regulations as outlined in Part 145.A.30 and AMC 145.A.30. The absence of a current signature and date indicates a lack of compliance with the requirement for a corporate commitment by the Accountable Manager.",The statement by the Accountable Manager is outdated and does not reflect current compliance.; Lack of signatures and dates that align with the regulatory requirements.,Why is the statement by the Accountable Manager dated prior to the regulatory requirement?; Can the organization provide a current statement that meets the EASA requirements?,"Update the MOE manual to include a current statement by the Accountable Manager, signed and dated to reflect compliance with EASA regulations."
moe_guide_0004,NEEDS_REVIEW,0.70,1.2 TURVALLISUUS- JA LAATUPOLITIIKKA,"The MOE manual addresses the safety policy and objectives but lacks a comprehensive quality and safety policy as required by EASA regulations. The implementation section does not clearly define the commitments related to human factors, non-punitive reporting, and the cooperation with the Organization Quality Authority as outlined in AMC 145.A.65. The absence of detailed procedures for ensuring safety as the prime consideration indicates a potential gap in compliance.",Lack of detailed quality and safety policy as per AMC 145.A.65; Insufficient information on human factors integration; No mention of a non-punitive maintenance error reporting system; Absence of clear procedures for personnel cooperation with Quality Authority,What specific procedures are in place for non-punitive reporting?; How does the organization ensure compliance with human factors principles?; Can you provide documentation on the training program related to human factors?; What measures are taken to ensure safety is prioritized over commercial imperatives?,"Revise the MOE manual to include a comprehensive quality and safety policy, explicitly outline the commitments related to human factors, and establish clear procedures for non-punitive reporting and cooperation with the Quality Authority."
moe_guide_0005,NEEDS_REVIEW,0.70,1.3 JOHTOTASON HENKILÖKUNTA,"The MOE manual section 1.3 addresses management personnel but lacks detailed information on their specific duties and responsibilities as required by EASA regulations. While it mentions the Quality Manager and auditors, it does not provide a comprehensive management organizational chart or the number and categories of staff, which are necessary for full compliance. The relevant regulatory context (IS.I.OR.200(c), IS.I.OR.240, IS.I.OR.250) emphasizes the need for clarity in management roles and responsibilities, which is not fully reflected in the MOE implementation.",Lack of a comprehensive management organizational chart; Insufficient detail on the duties and responsibilities of management personnel; No information on the number and categories of staff,Can you provide a detailed management organizational chart?; What are the specific duties and responsibilities of each management position?; How many staff members are categorized under each role?,"Revise the MOE manual to include a detailed management organizational chart and clearly define the duties and responsibilities of all management personnel, along with the number and categories of staff."
moe_guide_0006,NEEDS_REVIEW,0.70,1.3.1 Vastuullinen johtaja,"The MOE manual addresses the requirement for an Accountable Manager as per the MOE Guide requirement 1.3.1. However, the implementation in the MOE manual (1.4.1) does not explicitly mention the optional Common Responsible Person as defined in the regulatory context (IS.I.OR.240(d)). Additionally, the note regarding the Quality Manager's limitations when deputizing for the Maintenance Manager may create ambiguity regarding the delegation of responsibilities.",Lack of mention of the optional Common Responsible Person in the MOE manual.; Ambiguity regarding the Quality Manager's role and limitations when deputizing.,Does the MOE manual provide a clear definition of the Common Responsible Person?; How are the responsibilities delegated in the absence of the Accountable Manager?,Revise the MOE manual to include the optional Common Responsible Person and clarify the Quality Manager's role when deputizing for the Maintenance Manager.
moe_guide_0007,COMPLIANT,0.90,1.3.2 Hyväksytty vastuuhenkilö,"The MOE Manual adequately addresses the MOE Guide requirement by including sections that define the Accountable Manager and the optional Common Responsible Person as per the regulatory context. The references in the MOE Manual align with the requirements set forth in EASA EU 1321/2014 and AMC/GM, specifically REG-1 and REG-2. Both the MOE Guide and the MOE Manual contain the necessary definitions and responsibilities, indicating compliance.",,,Continue to monitor for any updates in regulatory requirements and ensure ongoing training for personnel regarding the roles defined in the MOE.
moe_guide_0008,COMPLIANT,1.00,1.3.3 Laadusta vastaava henkilö,"The MOE manual adequately addresses the MOE Guide requirement by clearly defining the role and independence of the Quality Manager, as well as their direct reporting line to the Accountable Manager. The composition and function of the Management Quality Group are also consistent with the regulatory requirements, as it consists solely of the Quality Manager due to the organization's size. Both the MOE manual and the regulatory context align in their descriptions of the Quality System and its functions.",,,No action required as the MOE manual is compliant.
moe_guide_0009,COMPLIANT,1.00,1.3.4 Sijaisuusjärjestelyt,"The MOE Manual adequately addresses the MOE Guide requirement by providing a detailed shift structure that ensures continuity of maintenance responsibility and awareness, as required by REG-1. The shift patterns outlined in the MOE implementation match the regulatory context, including the number of engineers per shift, shift times, and rostering schedules. Additionally, the flexibility for the Maintenance Manager to adjust resources based on workload is consistent with regulatory expectations.",,,No action required as the MOE Manual is compliant.
moe_guide_0010,COMPLIANT,0.90,1.4 JOHTOTASON HENKILÖSTÖN TEHTÄVÄT JA VASTUUT,"The MOE manual adequately addresses the MOE Guide requirement by detailing the duties and responsibilities of management personnel in Chapter 1.4, which aligns with the requirements set forth in EASA regulations. The responsibilities of nominated persons are clearly outlined, ensuring compliance with Part-145 and Part-IS functions as required by [REG-2]. The manual is consistent with Chapters 1.3 and 1.5, providing an up-to-date description of the maintenance management structure.",,Are there any recent changes to the management structure that have not been reflected in the MOE?; Is there documentation available that shows the delegation of responsibilities to Deputy Nominated Persons?,Continue to monitor for any changes in management personnel and ensure timely updates to the MOE.
moe_guide_0011,COMPLIANT,1.00,1.4.1 Vastuullinen johtaja,"The MOE Manual adequately addresses the MOE Guide requirement for the Accountable Manager as specified in section 1.4.1. The implementation in the MOE manual aligns with the regulatory context provided in EASA EU 1321/2014 and AMC/GM, specifically referencing the same sections. Both the MOE Guide and the MOE Manual contain consistent definitions and responsibilities for the Accountable Manager, ensuring compliance with the regulatory requirements.",,,Continue to monitor for any updates in regulatory requirements and ensure ongoing compliance.
moe_guide_0012,COMPLIANT,1.00,1.4.3 Teknillinen johtaja,"The MOE manual adequately addresses the MOE Guide requirement for the Engineering Manager's duties as outlined in section 1.4.3.1. The duties listed in the MOE implementation match the regulatory requirements specified in EASA EU 1321/2014 and AMC/GM, ensuring compliance with the necessary maintenance data availability, technical document supply, and notification of inaccuracies.",,,No action required as the MOE manual is compliant.
moe_guide_0013,COMPLIANT,1.00,1.4.4 Laatupäällikkö,"The MOE manual adequately addresses the MOE Guide requirement by detailing the responsibilities of the Quality Manager in accordance with EASA regulations. The responsibilities outlined in the MOE implementation match those specified in the regulatory context, ensuring compliance with EASA EU 1321/2014 and AMC/GM. All necessary aspects of the Quality Manager's role, including independent quality assurance, direct access to the Accountable Manager, audit program implementation, and non-conformance management, are covered comprehensively.",,,No action required as the MOE manual is compliant.
moe_guide_0014,COMPLIANT,1.00,1.5 ORGANISAATIOKAAVIO,"The MOE manual adequately addresses the MOE Guide requirement for the Management Organisation Chart. It includes the necessary details regarding the nominated persons and their associated chains of responsibility, as required by EASA regulations. The chart lists the Accountable Manager, Quality Manager, and Maintenance Manager, all of whom are identified as EASA Form 4 Holders, which aligns with the requirements outlined in the regulatory context.",,,No action required as the MOE manual is compliant.
moe_guide_0015,NEEDS_REVIEW,0.70,1.6 HUOLTOTODISTEEN ANTAJAT JA TUKIHENKILÖT,"The MOE manual provides a list of management personnel and nominated personnel, which aligns with the requirements of REG-1. However, it lacks detailed information as specified in REG-2 regarding the content of the list(s). Specifically, it does not include the EASA C/S Category, authorisation identification number, sample of the signature, date of first issue, expiry date, scope/limitation of the authorisation, and aircraft maintenance license identification number for certifying staff. These omissions indicate that while the structure is present, the necessary details are not fully compliant with the regulatory requirements.",Missing EASA C/S Category for personnel; Lack of authorisation identification numbers; Absence of sample signatures; No dates for first issue and expiry of authorisations; Scope/limitation of authorisations not specified; Missing aircraft maintenance license identification numbers for certifying staff,Can you provide the EASA C/S Category for each listed personnel?; What are the authorisation identification numbers for the personnel?; Could you provide samples of the signatures for the personnel?; What are the dates of first issue and expiry for the authorisations?; What are the specific scopes/limitations of the authorisations?; Can you confirm the aircraft maintenance license identification numbers for certifying staff?,Revise the MOE manual to include all required details as per REG-2 to ensure full compliance.
moe_guide_0016,COMPLIANT,1.00,1.7 KÄYTETTÄVISSÄ OLEVA TYÖVOIMA,"The MOE manual adequately addresses the MOE Guide requirement by providing a clear indication of the total number of staff and splitting it into various categories as specified. It aligns with the regulatory context outlined in EASA EU 1321/2014 and AMC/GM, particularly sections 145.A.70(a)7 and AMC1 IS.I.OR.240(f), which require the organization to demonstrate adequate manpower resources without declaring percentages. The manual also states that any significant changes in staffing will be captured and notified to EASA, complying with the requirements of MOE 1.10.",,,No action required as the MOE is compliant.
