Requirement ID,Status,Confidence,MOE Guide Section,Analysis,Gaps,Auditor Questions,Recommendation
moe_guide_0000,NEEDS_REVIEW,0.85,"**European Union Aviation Safety Agency** **User Guide**

# **Foreign Part-145 approvals - User Guide for Maintenance Organisation Exposition** **UG.CAO.00024-010**


|Name Validation Date|Col2|Col3|C...","The MOE Manual appears to follow the structure and content guidelines provided in the EASA Part-145 User Guide, including the integration of Part-IS requirements and the use of associated procedures for multiple regulatory approvals. However, the manual's compliance with the latest regulatory updates, particularly regarding ISMS (Information Security Management System) as per Regulation (EU) 2023/203, requires verification. The manual includes sections for ISMS but lacks detailed procedures for all specified ISMS core processes.","Insufficient detail on ISMS core processes such as Information Security Risk Assessment and Information Security Incidents - Detection, Response and Recovery.; Lack of clear differentiation between associated procedures/lists and work instructions as per the latest updates.",Are all ISMS core processes fully documented and implemented as per Regulation (EU) 2023/203?; How does the organization ensure clear differentiation between associated procedures/lists and work instructions?; Is there a documented procedure for the integration of Part-IS requirements into the existing Part-145 MOE?,The organization should review and update the MOE to include detailed procedures for all ISMS core processes and ensure clear differentiation between associated procedures/lists and work instructions. A compliance check against Regulation (EU) 2023/203 is recommended to ensure full adherence.
moe_guide_0001,COMPLIANT,0.90,0.1. Table of Contents. ............................................................................................................................................ 5...,"The MOE Manual includes a Table of Contents as required by the MOE Guide. The Table of Contents is detailed and aligns with the structure suggested in the regulatory context, covering key sections such as Introduction, Continuing Airworthiness Management, and Appendices. The regulatory context [REG-1] and [REG-2] emphasize the need for a clear and structured Table of Contents, which the MOE Manual [MOE-1] and [MOE-2] adequately provide. The MOE also includes additional sections like 'List of revisions' and 'Note from the editor,' which are not explicitly required but do not detract from compliance.","The MOE Manual includes additional non-mandatory sections which, while not non-compliant, could be streamlined for clarity.",Is the Table of Contents updated to reflect all current sections of the MOE?; Are there any sections in the MOE not listed in the Table of Contents?,Ensure the Table of Contents is periodically reviewed and updated to reflect any changes in the MOE structure.
moe_guide_0002,NEEDS_REVIEW,0.70,0.2. Definitions and Abbreviations. ...................................................................................................................... 10...,"The MOE Manual includes sections on definitions and abbreviations, but the provided excerpts focus primarily on basic knowledge requirements for category L aircraft maintenance licenses and human factors, rather than the specific definitions and abbreviations required by the MOE Guide. The regulatory context [REG-1] and [REG-2] emphasize the need for clear definitions and abbreviations, which are not explicitly addressed in the provided MOE excerpts.",Lack of explicit definitions and abbreviations section in the provided MOE excerpts; Insufficient alignment with the regulatory requirements for definitions and abbreviations,Does the MOE Manual include a dedicated section for definitions and abbreviations as per the MOE Guide requirement?; Are the definitions and abbreviations consistent with those specified in the regulatory context?,Review the MOE Manual to ensure it includes a comprehensive section on definitions and abbreviations that aligns with the regulatory requirements. Update the manual to explicitly list and define all necessary terms and abbreviations as specified in [REG-1] and [REG-2].
moe_guide_0003,NEEDS_REVIEW,0.70,0.3. Scope and Applicability. ................................................................................................................................. 11...,"The MOE Manual does not explicitly address the 'Scope and Applicability' requirement (0.3) as outlined in the MOE Guide. The provided regulatory context (REG-1, REG-2, REG-3) and MOE implementation (MOE-1, MOE-2) focus on technical content related to physics, aerodynamics, and metallic structures, but lack a clear section defining the scope and applicability of the MOE itself. This is a critical requirement for compliance.",Missing explicit 'Scope and Applicability' section in the MOE Manual.,Does the MOE Manual include a dedicated section for 'Scope and Applicability'?; Is the scope of the MOE clearly defined to cover all relevant regulatory requirements?; Are there any limitations or exclusions stated in the scope?,"Add a dedicated 'Scope and Applicability' section to the MOE Manual, clearly defining the scope of the maintenance organization's activities and its applicability to the regulatory requirements. Ensure this section references all relevant parts of EASA Part-145."
moe_guide_0004,NEEDS_REVIEW,0.80,0.4. Purpose. ......................................................................................................................................................... 11...,"The MOE Manual does not explicitly address the grading and weighting of key points as required by [REG-1] (g) and (h). While [MOE-2] mentions a pass mark of 75%, it does not detail the allocation of 60% weight to key points and 40% to clarity and presentation as specified in [REG-1] (g) and (i). The MOE also lacks specific guidance on the use of technical language and logical process in reports as per [REG-1] (j) and (k).",No explicit mention of 60% weight allocation to key points; No explicit mention of 40% weight allocation to clarity and presentation; Lack of guidance on technical language and logical process in reports,How are key points graded and weighted in the MOE?; Is there a specific section detailing the 60/40 weight allocation?; Are there guidelines for technical language and logical process in reports?,"Update the MOE to include explicit sections on grading and weighting of key points (60%) and clarity/presentation (40%), and provide guidelines on technical language and logical process in reports."
moe_guide_0005,COMPLIANT,0.90,0.5. Entry into force. ............................................................................................................................................. 11...,"The MOE Manual adequately addresses the 'Entry into force' requirement by explicitly stating the conditions and timelines for the regulation's applicability, including derogations and specific provisions for different aircraft types and operations. The MOE sections [MOE-2] and [MOE-3] align with the regulatory context provided in [REG-1], [REG-2], and [REG-3], detailing the entry into force of Regulation (EU) 2018/1142 and its amendments.",,,No action required as the MOE Manual is compliant with the regulatory requirements regarding the entry into force of the relevant regulations.
moe_guide_0006,NEEDS_REVIEW,0.70,0.6. Associated Instructions. ................................................................................................................................. 11...,"The MOE Manual does not clearly address the requirement for 'Associated Instructions' as specified in the MOE Guide (0.6). The provided MOE sections ([MOE-1], [MOE-2], [MOE-3]) focus on maintenance data, task categories, and examination standards but do not explicitly reference or detail associated instructions. Regulatory context [REG-1] requires clear documentation of associated instructions, but this is not evident in the MOE implementation.",Lack of explicit reference to associated instructions in the MOE Manual; No clear linkage between MOE sections and the requirement for associated instructions,Where are the associated instructions documented in the MOE?; How does the organization ensure compliance with associated instructions as per regulatory requirements?,"Revise the MOE Manual to include a dedicated section or reference for associated instructions, ensuring alignment with regulatory requirements. Provide clear documentation on how associated instructions are managed and implemented within the organization."
moe_guide_0007,NEEDS_REVIEW,0.80,"0.7. Communication. ............................................................................................................................................. 11

1. General Guidance .................","The MOE Manual appears to replicate the regulatory requirements verbatim in sections [MOE-2] and [MOE-3], which aligns with [REG-2] and [REG-3]. However, the MOE lacks specific implementation details or organizational procedures for communication and general guidance as required by [REG-1]. The manual does not demonstrate how these requirements are practically applied within the organization.",Lack of specific organizational procedures for communication; No clear implementation details for general guidance; Verbatim replication without contextual adaptation,How does the organization implement the communication requirements in practice?; Are there specific procedures for general guidance that are not documented in the MOE?; How are the key points graded and weighted in actual examinations?,"The MOE should be revised to include specific organizational procedures and implementation details for communication and general guidance, rather than merely replicating regulatory text. The organization should document how key points are graded and weighted in practice."
moe_guide_0008,NEEDS_REVIEW,0.80,1.1. Preliminary Considerations. ........................................................................................................................... 13...,"The MOE Manual partially addresses the MOE Guide requirement but lacks specific details on key points grading, clarity of presentation, and handling of borderline cases as outlined in the regulatory context. The MOE implementation references examination procedures and knowledge levels but does not explicitly cover all aspects of essay question grading and reporting as required by [REG-1] and [MOE-1].",No explicit mention of key points grading (60% weight) and clarity of presentation (40% weight) in MOE.; No detailed guidance on handling borderline cases or incorrect spelling penalties.; Lack of specific instructions on avoiding indexed or itemized reports.,How are key points graded and weighted in the examination process?; What procedures are in place for handling borderline cases?; Are there guidelines on avoiding indexed or itemized reports in essay answers?,"Update the MOE Manual to include detailed procedures for grading key points (60%) and clarity of presentation (40%), handling borderline cases, and avoiding indexed or itemized reports. Ensure alignment with [REG-1] and [MOE-1]."
moe_guide_0009,COMPLIANT,0.90,1.2. MOE serving multiple regulatory approvals .................................................................................................. 14...,"The MOE Manual adequately addresses the requirement for serving multiple regulatory approvals by specifying the structure and format requirements, including the need for clear indication of EASA-applicable parts and the use of an index for different approvals. The example provided demonstrates how regulatory applicability is clearly marked, aligning with AMC1 145.A.70(a). The MOE also specifies the format and language requirements, including the precedence of the English version, which complies with the regulatory context.",None identified,Is there a comprehensive index in the MOE that clearly shows where subject matter for different regulatory approvals can be found?; Are all EASA-applicable parts clearly marked in the MOE?; Is the English version of the MOE maintained as the prevailing version in cases where a second language is used?,Ensure that the MOE includes a detailed index for multiple regulatory approvals and that all EASA-applicable parts are distinctly marked. Verify that the English version is maintained as the prevailing version where applicable.
moe_guide_0010,NEEDS_REVIEW,0.80,1.3. Exposition Format and Language. .................................................................................................................. 14...,"The MOE Manual references AMC1 145.A.70(a) and includes an outline for the MOE layout, which aligns with [REG-2] and [MOE-1]. However, the manual does not explicitly mention the inclusion of an index when using a different format, as required by [REG-2] and [MOE-1]. Additionally, [MOE-2] suggests the need for a cross-reference index in combined documents, which is not clearly addressed in the MOE Manual. The manual also lacks specific details on browsing and technological aspects as suggested by [MOE-3].",No explicit mention of an index for different formats; Lack of cross-reference index for combined documents; Missing details on browsing and technological aspects,Does the MOE Manual include an index for different formats?; Is there a cross-reference index for combined documents?; Are browsing and technological aspects detailed in the MOE Manual?,"Update the MOE Manual to include an index for different formats, a cross-reference index for combined documents, and details on browsing and technological aspects to ensure full compliance with EASA Part-145 regulations."
moe_guide_0011,NEEDS_REVIEW,0.70,1.4. Terms in Use. ................................................................................................................................................. 15...,"The MOE Manual includes sections such as 'EASA eRules', 'Disclaimer', 'List of revisions', 'Note from the editor', 'Incorporated amendments', 'Table of contents', and 'Cover Regulation', which align with the general structure suggested by the regulatory context. However, the specific requirement '1.4. Terms in Use' is not explicitly addressed in the provided MOE Manual sections. The MOE Manual does reference EASA eRules and includes a table of contents, but it lacks a dedicated section for defining terms in use, which is a critical component for clarity and compliance.",Missing dedicated section for 'Terms in Use' as required by the MOE Guide.,Is there a separate section in the MOE Manual that defines 'Terms in Use' that was not provided in the excerpts?; How are terms defined and referenced within the MOE Manual to ensure clarity and compliance with EASA Part-145 regulations?,"Add a dedicated section titled 'Terms in Use' to the MOE Manual, clearly defining all relevant terms to ensure compliance with EASA Part-145 requirements. Ensure this section is referenced in the table of contents for easy navigation."
moe_guide_0012,NEEDS_REVIEW,0.80,1.5. MOE User Guide writing conventions ........................................................................................................... 15...,"The MOE Manual includes a section on MOE User Guide writing conventions as required by [REG-1]. However, the example provided in [MOE-2] shows a revision table with numeric issue and revision numbers, which complies with the requirement that alphabetic characters are not acceptable. The distribution list in [MOE-2] is detailed but contains a duplicate 'Copy No. 5' which may indicate a clerical error. The MOE references the correct regulatory sections in [MOE-3] but lacks clarity on the language and format requirements as per [REG-2] and [REG-3].",Duplicate 'Copy No. 5' in distribution list; Lack of explicit reference to language and format requirements,Is the duplicate 'Copy No. 5' in the distribution list intentional?; Are there any additional language and format requirements not explicitly stated in the MOE?,Correct the duplicate entry in the distribution list and explicitly reference the language and format requirements from [REG-2] and [REG-3] in the MOE.
moe_guide_0013,COMPLIANT,0.90,1.6. Cross reference EASA Part-145 and Part-IS versus MOE chapters ............................................................... 16...,"The MOE Manual adequately addresses the MOE Guide requirement for cross-referencing EASA Part-145 and Part-IS versus MOE chapters. The manual includes a clear statement by the Accountable Manager, references to regulatory requirements, and commitments to compliance. The structure aligns with the criteria identified in par. 1.7.2 'MOE supplemented by associated procedures'. The manual also specifies the format and language requirements, including the use of English as the prevailing language.","The MOE does not explicitly mention the 'Overseeing authority' as defined in REG-2, which could be clarified for completeness.",Is there a clear indication of which parts of the text are applicable to EASA as required by MOE-2?; Has the overseeing authority agreed to the use of a second language if applicable?; Is the Accountable Manager's statement signed and dated as required?,Clarify the role of the 'Overseeing authority' in the MOE to ensure full compliance with REG-2. Ensure all parts of the text applicable to EASA are clearly indicated as per MOE-2.
